# NIRWizard 0.1.7 — QC per-channel table
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_1.snirf sha256=3450a7da53c06fca85a7eea728119ec2acdb0ab65c898234b4f9e6130cca2266
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_2.snirf sha256=fffd8621e0f23f2f6b8d8a96399af57657bfe620a8d1436530fb36618354f444
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_1.snirf sha256=e02b5983b2f586ec1eec748e2d8d6c5240c7723ca7ba4dbb3f91196c2c8acb47
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_2.snirf sha256=c98402779496ac1aba0fb382d28822eb689572c5d291435b7733ef053f4fb302
# statistics: solver=QC metrics (cedalion engine); descriptive (no p/q); correction=none; families=n/a (no correction applied)
# engine=cedalion v26.5.2.dev11+ga7eb62531; cardiac band 0.5-2.5 Hz; window 5 s (61 samples @ 12.2070 Hz), no overlap; 421 windows
# verdict rule: window good iff SCI>=0.8 and PSP>=0.1; channel good iff good-window fraction>=q=0.75 and SNR>=2, SD in 0-45 mm, mean amplitude gate not applied (no bounds set)
# SNR convention: SNR = mean(raw intensity) / std(raw intensity) per wavelength (population std), channel value = minimum over wavelengths; Homer3 convention, not dB
# sci_value / psp_value are medians over windows; *_pass for SCI/PSP = per-metric good-window fraction >= q; status combines both windows and gates
# GVTD (recording-level, never flags channels): mean=1.092568e-2 median=7.886281e-3 max=1.558530e-1 over 94 measurements
# QC exclusions applied: no — status is the QC verdict under these thresholds; nothing has been written into the bad-channel record
# n/a = gate not applied for that channel
# provenance: qc_channels.json (authoritative sidecar, schema 1.0)
name	source	detector	separation_mm	sci_value	sci_threshold	sci_pass	psp_value	psp_threshold	psp_pass	snr_value	snr_threshold	snr_pass	mean_amplitude_value	mean_amplitude_threshold	mean_amplitude_pass	sd_distance_value	sd_distance_threshold	sd_distance_pass	windows_total	windows_good	good_fraction	q_threshold	status	status_description	verdict_source	engine
S11-D6	11	6	3.893994e1	9.573929e-1	0.8	true	3.161868e-2	0.1	false	1.534613e1	2	true	8.740707e1	n/a	n/a	3.893994e1	0-45	true	421	8	1.900238e-2	0.75	bad	failed windows, psp: 8/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S11-D9	11	9	3.687229e1	9.069336e-1	0.8	true	3.366886e-2	0.1	false	3.052822e1	2	true	1.545709e1	n/a	n/a	3.687229e1	0-45	true	421	15	3.562945e-2	0.75	bad	failed windows, psp: 15/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S11-D10	11	10	3.696921e1	9.896561e-1	0.8	true	3.268040e-2	0.1	false	1.526261e1	2	true	2.752232e1	n/a	n/a	3.696921e1	0-45	true	421	11	2.612827e-2	0.75	bad	failed windows, psp: 11/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S12-D7	12	7	3.367015e1	9.307073e-1	0.8	true	1.602659e-1	0.1	true	3.054954e1	2	true	6.093703e0	n/a	n/a	3.367015e1	0-45	true	421	396	9.406176e-1	0.75	good	passed QC [amplitude gate not applied (no bounds set)]	qc	cedalion
S12-D10	12	10	3.696963e1	3.632591e-1	0.8	false	2.675630e-2	0.1	false	3.572450e1	2	true	4.134397e0	n/a	n/a	3.696963e1	0-45	true	421	0	0.000000e0	0.75	bad	failed windows, sci, psp: 0/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S12-D12	12	12	3.344405e1	1.254008e-1	0.8	false	1.280932e-2	0.1	false	2.076154e1	2	true	1.181691e0	n/a	n/a	3.344405e1	0-45	true	421	0	0.000000e0	0.75	bad	failed windows, sci, psp: 0/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S12-D15	12	15	3.729279e1	9.712141e-1	0.8	true	1.184288e-1	0.1	false	2.212909e1	2	true	3.686132e1	n/a	n/a	3.729279e1	0-45	true	421	262	6.223278e-1	0.75	bad	failed windows, psp: 262/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S13-D8	13	8	3.760152e1	8.994109e-1	0.8	false	2.722155e-2	0.1	false	1.430659e1	2	true	6.165897e0	n/a	n/a	3.760152e1	0-45	true	421	6	1.425178e-2	0.75	bad	failed windows, sci, psp: 6/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S13-D11	13	11	4.068731e1	7.935254e-1	0.8	false	1.234099e-1	0.1	true	3.666880e1	2	true	3.711729e0	n/a	n/a	4.068731e1	0-45	true	421	174	4.133017e-1	0.75	bad	failed windows, sci: 174/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S14-D10	14	10	3.707284e1	3.021939e-1	0.8	false	1.342566e-2	0.1	false	1.690583e1	2	true	1.424337e0	n/a	n/a	3.707284e1	0-45	true	421	1	2.375297e-3	0.75	bad	failed windows, sci, psp: 1/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S14-D12	14	12	4.066575e1	2.003062e-1	0.8	false	1.845057e-2	0.1	false	2.569950e1	2	true	1.335268e0	n/a	n/a	4.066575e1	0-45	true	421	0	0.000000e0	0.75	bad	failed windows, sci, psp: 0/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S15-D11	15	11	4.114617e1	9.788378e-1	0.8	true	1.784992e-1	0.1	true	3.596259e1	2	true	1.189434e1	n/a	n/a	4.114617e1	0-45	true	421	404	9.596200e-1	0.75	good	passed QC [amplitude gate not applied (no bounds set)]	qc	cedalion
S15-D13	15	13	3.058456e1	4.545136e-1	0.8	false	3.439495e-2	0.1	false	2.587676e1	2	true	3.155204e0	n/a	n/a	3.058456e1	0-45	true	421	0	0.000000e0	0.75	bad	failed windows, sci, psp: 0/421 windows good (SCI>=0.8, PSP>=0.1), below q=0.75 [amplitude gate not applied (no bounds set)]	qc	cedalion
S15-D14	15	14	3.040644e1	9.943050e-1	0.8	true	1.901792e-1	0.1	true	3.263001e1	2	true	2.229200e1	n/a	n/a	3.040644e1	0-45	true	421	404	9.596200e-1	0.75	good	passed QC [amplitude gate not applied (no bounds set)]	qc	cedalion
S16-D12	16	12	4.114111e1	9.039704e-1	0.8	true	1.502547e-1	0.1	true	2.203938e1	2	true	6.553783e0	n/a	n/a	4.114111e1	0-45	true	421	382	9.073634e-1	0.75	good	passed QC [amplitude gate not applied (no bounds set)]	qc	cedalion
S16-D15	16	15	3.000879e1	9.974863e-1	0.8	true	1.957357e-1	0.1	true	2.994523e1	2	true	6.013825e1	n/a	n/a	3.000879e1	0-45	true	421	405	9.619952e-1	0.75	good	passed QC [amplitude gate not applied (no bounds set)]	qc	cedalion
S16-D16	16	16	3.103937e1	9.956354e-1	0.8	true	1.937985e-1	0.1	true	2.660953e1	2	true	3.932426e1	n/a	n/a	3.103937e1	0-45	true	421	412	9.786223e-1	0.75	good	passed QC [amplitude gate not applied (no bounds set)]	qc	cedalion
