# NIRWizard 0.1.7 — subject GLM nuisance-regressor coefficients (descriptive)
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_1.snirf sha256=3450a7da53c06fca85a7eea728119ec2acdb0ab65c898234b4f9e6130cca2266
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_2.snirf sha256=fffd8621e0f23f2f6b8d8a96399af57657bfe620a8d1436530fb36618354f444
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_1.snirf sha256=e02b5983b2f586ec1eec748e2d8d6c5240c7723ca7ba4dbb3f91196c2c8acb47
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_2.snirf sha256=c98402779496ac1aba0fb382d28822eb689572c5d291435b7733ef053f4fb302
# statistics: solver=AR-IRLS; inferential; correction=Benjamini-Hochberg FDR; families=condition × chromophore, across channels
# regressors: drift_r1_1, drift_r1_2, drift_r1_3, drift_r1_4, drift_r1_5, drift_r1_6, drift_r1_7, drift_r1_8, drift_r1_9, drift_r2_1, drift_r2_2, drift_r2_3, drift_r2_4, drift_r2_5, drift_r2_6, drift_r2_7, drift_r3_1, drift_r3_2, drift_r3_3, drift_r3_4, drift_r3_5, drift_r3_6, drift_r3_7, drift_r3_8, drift_r4_1, drift_r4_2, drift_r4_3, drift_r4_4, drift_r4_5, drift_r4_6, drift_r4_7, run_2, run_3, run_4, intercept
# provenance: quiet_vs_noise_glm_results.json (authoritative sidecar, schema 1.0)
channel,signal,regressor,beta,se
S1-D2,HbO,drift_r4_5,1.643573e0,2.682724e0
S1-D2,HbO,drift_r4_6,2.810195e0,2.600296e0
S1-D2,HbO,drift_r4_7,-2.449155e0,2.528429e0
S1-D2,HbO,run_2,-5.856039e-2,5.809517e-2
S1-D2,HbO,run_3,-3.757489e-2,6.102018e-2
S1-D2,HbO,run_4,-5.457497e-2,6.111973e-2
S1-D2,HbO,intercept,-1.540454e-1,4.088959e-2
S1-D2,HbR,drift_r1_1,4.877779e-1,4.865311e-1
S1-D2,HbR,drift_r1_2,-9.208885e-1,4.807895e-1
S1-D2,HbR,drift_r1_3,1.045109e0,4.741679e-1
S1-D2,HbR,drift_r1_4,-1.592139e-1,4.705545e-1
S1-D2,HbR,drift_r1_5,-9.304494e-2,4.711655e-1
S1-D2,HbR,drift_r1_6,-4.097947e-1,4.641580e-1
S1-D2,HbR,drift_r1_7,9.579453e-1,4.610666e-1
S1-D2,HbR,drift_r1_8,-1.051549e0,4.572230e-1
S1-D2,HbR,drift_r1_9,8.319510e-1,4.513571e-1
S1-D2,HbR,drift_r2_1,-6.563317e-1,4.677714e-1
S1-D2,HbR,drift_r2_2,-1.149100e0,4.676388e-1
S1-D2,HbR,drift_r2_3,-2.797994e-1,4.636417e-1
S1-D2,HbR,drift_r2_4,-8.118396e-1,4.596291e-1
S1-D2,HbR,drift_r2_5,-7.231067e-1,4.556999e-1
S1-D2,HbR,drift_r2_6,-8.298128e-1,4.503112e-1
S1-D2,HbR,drift_r2_7,-3.935263e-1,4.450720e-1
S1-D2,HbR,drift_r3_1,-1.015438e-1,4.712772e-1
S1-D2,HbR,drift_r3_2,-1.760026e-1,4.746010e-1
S1-D2,HbR,drift_r3_3,-2.871001e-1,4.665479e-1
S1-D2,HbR,drift_r3_4,-1.016007e0,4.692081e-1
S1-D2,HbR,drift_r3_5,-5.368312e-1,4.593819e-1
S1-D2,HbR,drift_r3_6,-2.722734e-1,4.566777e-1
S1-D2,HbR,drift_r3_7,-7.047725e-1,4.497432e-1
S1-D2,HbR,drift_r3_8,5.739995e-2,4.437893e-1
S1-D2,HbR,drift_r4_1,-4.669058e-1,4.678563e-1
S1-D2,HbR,drift_r4_2,2.148200e-1,4.700986e-1
S1-D2,HbR,drift_r4_3,-8.256081e-2,4.639071e-1
S1-D2,HbR,drift_r4_4,5.698889e-1,4.601321e-1
S1-D2,HbR,drift_r4_5,7.663522e-1,4.563672e-1
S1-D2,HbR,drift_r4_6,-2.853385e-1,4.505242e-1
S1-D2,HbR,drift_r4_7,6.048920e-1,4.467779e-1
S1-D2,HbR,run_2,-3.778746e-4,9.374256e-3
S1-D2,HbR,run_3,7.759612e-3,1.013783e-2
S1-D2,HbR,run_4,1.820505e-2,1.016040e-2
S1-D2,HbR,intercept,1.467687e-2,6.766615e-3
S1-D3,HbO,drift_r1_1,5.640340e0,1.476430e0
S1-D3,HbO,drift_r1_2,1.996350e0,1.454378e0
S1-D3,HbO,drift_r1_3,-7.975741e-1,1.425377e0
S1-D3,HbO,drift_r1_4,-1.475509e0,1.419304e0
