# NIRWizard 0.1.7 — subject block average — per-channel statistics
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_1.snirf sha256=3450a7da53c06fca85a7eea728119ec2acdb0ab65c898234b4f9e6130cca2266
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_2.snirf sha256=fffd8621e0f23f2f6b8d8a96399af57657bfe620a8d1436530fb36618354f444
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_1.snirf sha256=e02b5983b2f586ec1eec748e2d8d6c5240c7723ca7ba4dbb3f91196c2c8acb47
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_2.snirf sha256=c98402779496ac1aba0fb382d28822eb689572c5d291435b7733ef053f4fb302
# statistics: solver=epoch mean; descriptive (no p/q); correction=none; families=n/a (no correction applied)
# band: 95% CI (band_type=ci95; half-width = multiplier × SEM, df = n_epochs − 1 per channel)
# trial rejection: no trial rejection applied
# units: μM (source: conversion record)
# condition '1': 3 onsets, 0 out of bounds, n = 3 per channel
# condition '10': 3 onsets, 0 out of bounds, n = 3 per channel
# condition '11': 4 onsets, 0 out of bounds, n = 4 per channel
# condition '20': 12 onsets, 0 out of bounds, n = 12 per channel
# condition '21': 12 onsets, 0 out of bounds, n = 12 per channel
# condition '30': 24 onsets, 0 out of bounds, n = 24 per channel
# condition '40': 4 onsets, 1 out of bounds, n = 3 per channel
# peak: signed extremum (largest |mean|) at t ≥ 0; band_at_peak: band half-width there
# provenance: block_average.json (authoritative sidecar, schema 1.0)
channel,signal,condition,peak,peak_time_s,band_at_peak,n_epochs_kept,n_epochs_rejected,status
S4-D3,HbR,10,-4.579612e-2,29.800000,1.319657e-1,3,0,good
S4-D7,HbO,10,-3.650534e-1,18.600000,1.059233e0,3,0,good
S4-D7,HbR,10,-5.128577e-2,38.100000,1.482562e-1,3,0,good
S5-D2,HbO,10,-5.934825e-1,7.500000,2.244322e0,3,0,good
S5-D2,HbR,10,-1.165104e-1,36.300000,3.637326e-1,3,0,good
S5-D7,HbO,10,-3.935167e-1,7.700000,1.769314e0,3,0,good
S5-D7,HbR,10,-9.288684e-2,37.300000,1.207760e-1,3,0,good
S6-D3,HbO,10,-2.950091e-1,19.800000,2.839449e-1,3,0,good
S6-D3,HbR,10,-7.467652e-2,39.100000,2.141155e-1,3,0,good
S6-D5,HbO,10,1.908153e-1,28.400000,1.015678e0,3,0,good
S6-D5,HbR,10,-7.359652e-2,18.900000,3.785908e-1,3,0,good
S6-D6,HbO,10,1.786967e-1,28.400000,7.527909e-1,3,0,good
S6-D6,HbR,10,6.880167e-2,28.600000,1.889675e-1,3,0,good
S6-D9,HbO,10,-2.752140e-1,19.000000,1.119802e0,3,0,good
S6-D9,HbR,10,5.741798e-2,25.000000,1.870107e-1,3,0,good
S7-D4,HbO,10,-2.784166e-1,19.700000,4.271334e-1,3,0,good
S7-D4,HbR,10,-4.888248e-2,29.700000,1.585981e-1,3,0,good
S7-D5,HbO,10,1.565791e-1,11.300000,7.102900e-1,3,0,good
S7-D5,HbR,10,-3.520414e-2,26.300000,2.789426e-2,3,0,good
S7-D8,HbO,10,3.333233e-1,28.700000,8.471501e-1,3,0,good
S7-D8,HbR,10,-1.571608e-1,23.900000,6.144034e-1,3,0,good
S8-D6,HbO,10,1.638601e-1,11.200000,8.535902e-1,3,0,good
S8-D6,HbR,10,3.670514e-2,11.200000,1.258789e-1,3,0,good
S8-D7,HbO,10,-3.645794e-1,20.000000,7.748969e-1,3,0,good
S8-D7,HbR,10,-4.205932e-2,38.500000,1.941710e-1,3,0,good
S8-D10,HbO,10,-3.848093e-1,18.400000,1.482856e0,3,0,good
S8-D10,HbR,10,-1.234900e-1,35.000000,3.789808e-1,3,0,good
S9-D4,HbO,10,-4.792681e-1,18.800000,1.204659e0,3,0,good
S9-D4,HbR,10,-9.001704e-2,39.000000,3.338489e-2,3,0,good
S9-D8,HbO,10,-3.685830e-1,6.500000,6.017434e-1,3,0,good
S9-D8,HbR,10,1.699782e-1,14.900000,2.909489e-1,3,0,good
S9-D11,HbO,10,-4.551719e-1,20.200000,8.442872e-1,3,0,good
S9-D11,HbR,10,6.651232e-2,16.800000,3.782737e-2,3,0,good
S9-D13,HbO,10,-4.068424e-1,19.700000,1.063046e0,3,0,good
S9-D13,HbR,10,1.081925e-1,20.100000,3.283351e-1,3,0,good
S10-D5,HbO,10,4.215821e-1,28.300000,9.278812e-1,3,0,good
S10-D5,HbR,10,1.000148e-1,28.300000,4.405224e-1,3,0,good
S10-D8,HbO,10,3.423084e-1,28.500000,1.577124e0,3,0,good
S10-D8,HbR,10,8.145633e-2,24.700000,2.633102e-1,3,0,good
S10-D9,HbO,10,4.213380e-1,28.300000,1.655480e0,3,0,good
S10-D9,HbR,10,9.591610e-2,25.100000,2.289088e-1,3,0,good
S11-D6,HbO,10,5.170243e-1,28.700000,8.019951e-1,3,0,good
S11-D6,HbR,10,2.201570e-1,15.200000,3.002456e-1,3,0,good
S11-D9,HbO,10,3.583717e-1,28.200000,8.434940e-1,3,0,good
S11-D9,HbR,10,-5.742279e-2,34.200000,1.311991e-1,3,0,good
S11-D10,HbO,10,6.327441e-1,28.600000,6.467657e-1,3,0,good
S11-D10,HbR,10,-1.043110e-1,6.600000,1.108707e-1,3,0,good
S12-D7,HbO,10,-4.518158e-1,7.800000,1.516754e0,3,0,good
S12-D7,HbR,10,-1.075497e-1,36.000000,4.706930e-1,3,0,good
S12-D10,HbO,10,-3.001047e-1,20.300000,1.307910e-1,3,0,good
S12-D10,HbR,10,-1.497175e-1,13.600000,1.230938e-1,3,0,good
S12-D12,HbO,10,-8.566389e-1,25.100000,1.350800e0,3,0,good
S12-D12,HbR,10,-2.173930e-1,15.100000,1.329082e0,3,0,good
S12-D15,HbO,10,-5.021348e-1,21.200000,1.097099e0,3,0,good
S12-D15,HbR,10,7.052456e-2,38.000000,4.483116e-1,3,0,good
S13-D8,HbO,10,3.495557e-1,28.500000,1.364411e0,3,0,good
S13-D8,HbR,10,2.135183e-1,28.500000,8.291045e-1,3,0,good
S13-D11,HbO,10,-4.448939e-1,19.900000,2.995209e-1,3,0,good
S13-D11,HbR,10,-7.556966e-2,35.300000,1.362027e-1,3,0,good
S14-D10,HbO,10,5.104182e-1,28.400000,1.001047e0,3,0,good
S14-D10,HbR,10,2.610225e-1,38.800000,3.946109e-1,3,0,good
S14-D12,HbO,10,-4.565117e-1,8.000000,1.692107e0,3,0,good
S14-D12,HbR,10,2.881494e-1,31.900000,6.976399e-1,3,0,good
S15-D11,HbO,10,-3.626024e-1,23.300000,7.615736e-1,3,0,good
S15-D11,HbR,10,7.315561e-2,33.600000,2.882925e-1,3,0,good
S15-D13,HbO,10,-4.145311e-1,24.900000,1.445905e0,3,0,good
S15-D13,HbR,10,2.635538e-1,37.200000,1.022556e0,3,0,good
S15-D14,HbO,10,-5.350365e-1,20.900000,1.472543e0,3,0,good
S15-D14,HbR,10,5.277107e-2,40.000000,4.927817e-1,3,0,good
S16-D12,HbO,10,-2.986895e-1,19.600000,8.480140e-1,3,0,good
S16-D12,HbR,10,6.261422e-2,16.200000,7.341477e-2,3,0,good
S16-D15,HbO,10,-2.956450e-1,31.500000,1.005950e0,3,0,good
S16-D15,HbR,10,1.023557e-1,39.600000,3.664827e-1,3,0,good
S16-D16,HbO,10,-3.466657e-1,19.900000,8.794546e-1,3,0,good
S16-D16,HbR,10,6.807766e-2,16.100000,8.590577e-2,3,0,good
S1-D1,HbO,11,6.218035e-1,26.500000,9.622104e-1,4,0,good
S1-D1,HbR,11,4.426413e-2,36.400000,1.424554e-1,4,0,good
S1-D2,HbO,11,8.750429e-1,23.700000,4.679375e-1,4,0,good
S1-D2,HbR,11,1.065814e-1,36.700000,2.334887e-1,4,0,good
S1-D3,HbO,11,5.406211e-1,24.200000,2.553476e-1,4,0,good
S1-D3,HbR,11,6.111097e-2,24.000000,1.767501e-1,4,0,good
S2-D1,HbO,11,9.744261e-1,23.600000,1.146301e0,4,0,good
S2-D1,HbR,11,1.199940e-1,39.700000,3.177773e-1,4,0,good
S2-D4,HbO,11,7.682756e-1,23.400000,7.477026e-1,4,0,good
S2-D4,HbR,11,7.362000e-2,25.100000,1.022474e-1,4,0,good
S3-D1,HbO,11,4.909531e-1,21.500000,1.212740e0,4,0,good
S3-D1,HbR,11,3.411621e-2,36.000000,7.056493e-2,4,0,good
S3-D3,HbO,11,5.921665e-1,7.800000,5.726895e-1,4,0,good
S3-D3,HbR,11,2.705925e-2,40.000000,1.072920e-1,4,0,good
S3-D4,HbO,11,4.006872e-1,21.400000,4.226571e-1,4,0,good
S3-D4,HbR,11,-6.884834e-2,10.900000,9.033508e-2,4,0,good
S4-D2,HbO,11,5.870498e-1,22.900000,2.466425e-1,4,0,good
S4-D2,HbR,11,6.385976e-2,36.000000,2.055458e-1,4,0,good
S4-D3,HbO,11,4.296260e-1,7.500000,4.776049e-1,4,0,good
S4-D3,HbR,11,-3.116605e-2,25.200000,2.384203e-2,4,0,good
S4-D7,HbO,11,4.082165e-1,6.200000,3.746090e-1,4,0,good
S4-D7,HbR,11,4.602170e-2,38.800000,1.569767e-1,4,0,good
S5-D2,HbO,11,7.041168e-1,6.200000,5.407289e-1,4,0,good
S5-D2,HbR,11,1.420428e-1,39.000000,3.176480e-1,4,0,good
S5-D7,HbO,11,5.652199e-1,6.600000,6.480114e-1,4,0,good
S5-D7,HbR,11,8.565000e-2,39.400000,2.956454e-1,4,0,good
S6-D3,HbO,11,4.899612e-1,8.000000,4.500394e-1,4,0,good
S6-D3,HbR,11,2.662418e-2,37.300000,6.693025e-2,4,0,good
S6-D5,HbO,11,2.606298e-1,21.900000,2.721186e-1,4,0,good
S6-D5,HbR,11,9.864948e-2,27.700000,1.747270e-1,4,0,good
S6-D6,HbO,11,1.957848e-1,22.000000,3.988612e-1,4,0,good
S6-D6,HbR,11,5.184184e-2,1.800000,3.802668e-2,4,0,good
S6-D9,HbO,11,3.858587e-1,21.900000,4.256932e-1,4,0,good
S6-D9,HbR,11,5.602530e-2,24.400000,9.515586e-2,4,0,good
S7-D4,HbO,11,4.155538e-1,23.300000,2.716947e-1,4,0,good
S7-D4,HbR,11,-2.018865e-2,14.600000,7.078922e-2,4,0,good
S7-D5,HbO,11,2.624277e-1,19.100000,2.869539e-1,4,0,good
S7-D5,HbR,11,4.773712e-2,19.000000,7.509221e-2,4,0,good
S7-D8,HbO,11,5.463777e-1,23.800000,3.101987e-1,4,0,good
S7-D8,HbR,11,1.134352e-1,34.300000,2.472937e-1,4,0,good
S8-D6,HbO,11,2.281510e-1,34.900000,4.350150e-1,4,0,good
S8-D6,HbR,11,7.661273e-2,35.300000,1.086352e-1,4,0,good
S8-D7,HbO,11,4.124469e-1,22.600000,5.180081e-1,4,0,good
S8-D7,HbR,11,-5.027043e-2,19.000000,1.358125e-1,4,0,good
S8-D10,HbO,11,2.542593e-1,21.900000,4.762106e-1,4,0,good
S8-D10,HbR,11,8.525887e-2,22.100000,3.185040e-1,4,0,good
S9-D4,HbO,11,5.517190e-1,22.900000,8.319396e-1,4,0,good
S9-D4,HbR,11,5.624819e-2,30.600000,2.718819e-1,4,0,good
S9-D8,HbO,11,4.408235e-1,24.100000,6.706173e-1,4,0,good
S9-D8,HbR,11,8.691664e-2,25.000000,2.479115e-1,4,0,good
S9-D11,HbO,11,6.762837e-1,10.800000,5.908667e-1,4,0,good
S9-D11,HbR,11,-9.660674e-2,39.500000,8.026484e-2,4,0,good
S9-D13,HbO,11,4.762046e-1,23.300000,1.088018e0,4,0,good
S9-D13,HbR,11,-8.029342e-2,40.000000,2.347404e-1,4,0,good
S10-D5,HbO,11,4.757854e-1,24.100000,5.873853e-1,4,0,good
S10-D5,HbR,11,1.509272e-1,24.400000,9.824134e-2,4,0,good
S10-D8,HbO,11,5.775206e-1,24.300000,1.902776e-1,4,0,good
S10-D8,HbR,11,1.615645e-1,24.400000,5.015760e-2,4,0,good
S10-D9,HbO,11,5.983692e-1,24.200000,4.066456e-1,4,0,good
S10-D9,HbR,11,1.300177e-1,24.200000,1.015508e-1,4,0,good
S11-D6,HbO,11,3.820223e-1,27.600000,4.609640e-1,4,0,good
S11-D6,HbR,11,1.493377e-1,15.000000,4.264918e-1,4,0,good
S11-D9,HbO,11,4.360788e-1,21.900000,2.673310e-1,4,0,good
S11-D9,HbR,11,-6.723977e-2,7.900000,4.849347e-2,4,0,good
S11-D10,HbO,11,3.446433e-1,24.100000,2.534699e-1,4,0,good
S11-D10,HbR,11,-8.186033e-2,5.300000,1.236157e-1,4,0,good
S12-D7,HbO,11,6.389101e-1,6.800000,6.790325e-1,4,0,good
S12-D7,HbR,11,-1.439691e-1,11.100000,9.391720e-2,4,0,good
S12-D10,HbO,11,5.112275e-1,24.300000,5.369955e-1,4,0,good
S12-D10,HbR,11,-1.328478e-1,39.700000,2.645460e-1,4,0,good
S12-D12,HbO,11,7.517616e-1,10.300000,8.842178e-1,4,0,good
S12-D12,HbR,11,-2.237774e-1,4.000000,2.667245e-1,4,0,good
S12-D15,HbO,11,4.891205e-1,26.200000,6.233362e-1,4,0,good
S12-D15,HbR,11,-9.016196e-2,40.000000,9.646433e-2,4,0,good
S13-D8,HbO,11,5.763494e-1,24.400000,3.464064e-1,4,0,good
S13-D8,HbR,11,2.100070e-1,24.600000,1.707076e-1,4,0,good
S13-D11,HbO,11,7.028645e-1,9.100000,3.675741e-1,4,0,good
S13-D11,HbR,11,-6.865884e-2,10.800000,1.065907e-1,4,0,good
S14-D10,HbO,11,7.924783e-1,24.800000,6.544565e-1,4,0,good
S14-D10,HbR,11,-2.499685e-1,26.500000,6.753182e-1,4,0,good
S14-D12,HbO,11,6.619559e-1,7.400000,5.187414e-1,4,0,good
S14-D12,HbR,11,-2.015580e-1,16.600000,2.112328e-1,4,0,good
S15-D11,HbO,11,4.413122e-1,22.300000,3.905954e-1,4,0,good
S15-D11,HbR,11,-6.791309e-2,36.600000,4.544783e-2,4,0,good
S15-D13,HbO,11,5.855769e-1,22.900000,1.411118e0,4,0,good
S15-D13,HbR,11,2.046074e-1,14.500000,3.225373e-1,4,0,good
S15-D14,HbO,11,5.622997e-1,11.000000,2.808546e-1,4,0,good
S15-D14,HbR,11,-1.081657e-1,35.200000,6.277661e-2,4,0,good
S16-D12,HbO,11,5.213967e-1,8.600000,1.467219e-1,4,0,good
S16-D12,HbR,11,-5.293772e-2,39.000000,6.403255e-2,4,0,good
S16-D15,HbO,11,5.126797e-1,12.100000,4.258154e-1,4,0,good
S16-D15,HbR,11,9.420471e-2,16.100000,1.329034e-1,4,0,good
S16-D16,HbO,11,8.083937e-1,7.600000,3.722351e-1,4,0,good
S16-D16,HbR,11,1.157486e-1,20.100000,1.230867e-1,4,0,good
S1-D1,HbO,20,7.589609e-1,8.400000,4.409668e-1,12,0,good
S1-D1,HbR,20,-6.857674e-2,11.900000,6.373873e-2,12,0,good
S1-D2,HbO,20,9.046675e-1,8.300000,4.488914e-1,12,0,good
