# NIRWizard 0.1.7 — subject GLM channel statistics
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_1.snirf sha256=3450a7da53c06fca85a7eea728119ec2acdb0ab65c898234b4f9e6130cca2266
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/quiet_2.snirf sha256=fffd8621e0f23f2f6b8d8a96399af57657bfe620a8d1436530fb36618354f444
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_1.snirf sha256=e02b5983b2f586ec1eec748e2d8d6c5240c7723ca7ba4dbb3f91196c2c8acb47
# source: /home/adama/dev/lydia-adept/piano-noise/data/dur40/noise_2.snirf sha256=c98402779496ac1aba0fb382d28822eb689572c5d291435b7733ef053f4fb302
# statistics: solver=AR-IRLS; inferential; correction=Benjamini-Hochberg FDR; families=condition × chromophore, across channels
# solver=AR-IRLS; inferential: p = 2·tcdf(−|t|, dfe); q = Benjamini-Hochberg FDR per condition × chromophore, across channels; hrf=Canonical; fs=10.0000Hz; n_channels=47
# conditions: QUIET, NOISE
# beta unit: μM (from Parameters.Conversion)
# dfe = 21392.000000 (n − p, per fit)
# runs: 4 (concatenated session); 3 run-intercept columns (run_2, run_3, run_4); drift per-run; AR whitening pooled
# provenance: quiet_vs_noise_glm_results.json (authoritative sidecar, schema 1.0)
channel,source,detector,separation_mm,signal,effect_type,effect,beta,se,t,dfe,p,q,ar_order,status
S5-D2,5,2,29.826400,HbR,condition,QUIET,-2.323991e-2,3.355354e-3,-6.926216,21392.000000,0.000000,0.000000,8,good
S5-D2,5,2,29.826400,HbR,condition,NOISE,-3.252136e-2,3.374178e-3,-9.638304,21392.000000,0.000000,0.000000,8,good
S5-D7,5,7,35.545953,HbO,condition,QUIET,1.154749e-1,2.246050e-2,5.141241,21392.000000,0.000000,0.000000,18,good
S5-D7,5,7,35.545953,HbO,condition,NOISE,1.992960e-1,2.270903e-2,8.776072,21392.000000,0.000000,0.000000,18,good
S5-D7,5,7,35.545953,HbR,condition,QUIET,1.720401e-3,3.080586e-3,0.558465,21392.000000,0.576532,0.645167,12,good
S5-D7,5,7,35.545953,HbR,condition,NOISE,5.393872e-3,3.093126e-3,1.743825,21392.000000,0.081204,0.115654,12,good
S6-D3,6,3,39.795237,HbO,condition,QUIET,1.877709e-1,1.726671e-2,10.874733,21392.000000,0.000000,0.000000,25,good
S6-D3,6,3,39.795237,HbO,condition,NOISE,1.543495e-1,1.749370e-2,8.823151,21392.000000,0.000000,0.000000,25,good
S6-D3,6,3,39.795237,HbR,condition,QUIET,-7.883797e-3,2.437553e-3,-3.234308,21392.000000,0.001221,0.002609,20,good
S6-D3,6,3,39.795237,HbR,condition,NOISE,-1.122281e-2,2.441504e-3,-4.596679,21392.000000,0.000004,0.000013,20,good
S6-D5,6,5,30.428150,HbO,condition,QUIET,4.374339e-2,1.108298e-2,3.946896,21392.000000,0.000079,0.000087,25,good
S6-D5,6,5,30.428150,HbO,condition,NOISE,3.364744e-2,1.116127e-2,3.014661,21392.000000,0.002576,0.002815,25,good
S6-D5,6,5,30.428150,HbR,condition,QUIET,-4.409434e-3,4.407281e-3,-1.000488,21392.000000,0.317085,0.402784,20,good
S6-D5,6,5,30.428150,HbR,condition,NOISE,9.745239e-3,4.449718e-3,2.190080,21392.000000,0.028529,0.046237,20,good
S6-D6,6,6,30.220428,HbO,condition,QUIET,5.804854e-2,1.246645e-2,4.656382,21392.000000,0.000003,0.000004,23,good
S6-D6,6,6,30.220428,HbO,condition,NOISE,3.420882e-3,1.255139e-2,0.272550,21392.000000,0.785202,0.785202,23,good
S6-D6,6,6,30.220428,HbR,condition,QUIET,4.517517e-3,3.153588e-3,1.432501,21392.000000,0.152015,0.216506,23,good
S6-D6,6,6,30.220428,HbR,condition,NOISE,-1.410138e-3,3.178165e-3,-0.443696,21392.000000,0.657267,0.720919,23,good
S6-D9,6,9,39.854208,HbO,condition,QUIET,4.170707e-2,1.811844e-2,2.301912,21392.000000,0.021350,0.022299,25,good
S6-D9,6,9,39.854208,HbO,condition,NOISE,2.608717e-2,1.824462e-2,1.429855,21392.000000,0.152773,0.159563,25,good
S6-D9,6,9,39.854208,HbR,condition,QUIET,2.748650e-3,3.863838e-3,0.711378,21392.000000,0.476858,0.560308,23,good
S6-D9,6,9,39.854208,HbR,condition,NOISE,8.369339e-3,3.889445e-3,2.151808,21392.000000,0.031424,0.049230,23,good
S7-D4,7,4,30.590450,HbO,condition,QUIET,1.822357e-1,1.503597e-2,12.119986,21392.000000,0.000000,0.000000,32,good
S7-D4,7,4,30.590450,HbO,condition,NOISE,1.033825e-1,1.522088e-2,6.792151,21392.000000,0.000000,0.000000,32,good
S7-D4,7,4,30.590450,HbR,condition,QUIET,1.066914e-2,2.292232e-3,4.654477,21392.000000,0.000003,0.000009,26,good
S7-D4,7,4,30.590450,HbR,condition,NOISE,1.640492e-2,2.299958e-3,7.132703,21392.000000,0.000000,0.000000,26,good
S7-D5,7,5,30.479283,HbO,condition,QUIET,5.322807e-2,7.861327e-3,6.770876,21392.000000,0.000000,0.000000,23,good
S7-D5,7,5,30.479283,HbO,condition,NOISE,8.437480e-2,7.911739e-3,10.664508,21392.000000,0.000000,0.000000,23,good
S7-D5,7,5,30.479283,HbR,condition,QUIET,1.100786e-2,2.189094e-3,5.028502,21392.000000,0.000000,0.000001,27,good
S7-D5,7,5,30.479283,HbR,condition,NOISE,1.892832e-2,2.212306e-3,8.555921,21392.000000,0.000000,0.000000,27,good
S7-D8,7,8,37.199101,HbO,condition,QUIET,1.439993e-1,1.808347e-2,7.963031,21392.000000,0.000000,0.000000,22,good
S7-D8,7,8,37.199101,HbO,condition,NOISE,1.307613e-1,1.827014e-2,7.157104,21392.000000,0.000000,0.000000,22,good
S7-D8,7,8,37.199101,HbR,condition,QUIET,1.480455e-2,6.114027e-3,2.421407,21392.000000,0.015469,0.026927,22,good
S7-D8,7,8,37.199101,HbR,condition,NOISE,-6.587666e-3,6.157650e-3,-1.069834,21392.000000,0.284706,0.326370,22,good
S8-D6,8,6,30.273278,HbO,condition,QUIET,7.339664e-3,9.632070e-3,0.762003,21392.000000,0.446067,0.455764,26,good
S8-D6,8,6,30.273278,HbO,condition,NOISE,-3.730512e-2,9.719649e-3,-3.838114,21392.000000,0.000124,0.000150,26,good
S8-D6,8,6,30.273278,HbR,condition,QUIET,4.465526e-3,2.996815e-3,1.490091,21392.000000,0.136215,0.202207,25,good
S8-D6,8,6,30.273278,HbR,condition,NOISE,-7.006518e-3,3.020113e-3,-2.319952,21392.000000,0.020353,0.034164,25,good
S8-D7,8,7,30.380172,HbO,condition,QUIET,1.455574e-1,2.078220e-2,7.003945,21392.000000,0.000000,0.000000,23,good
S8-D7,8,7,30.380172,HbO,condition,NOISE,1.123109e-1,2.095544e-2,5.359512,21392.000000,0.000000,0.000000,23,good
S8-D7,8,7,30.380172,HbR,condition,QUIET,-3.915880e-3,2.826034e-3,-1.385645,21392.000000,0.165870,0.229290,12,good
S8-D7,8,7,30.380172,HbR,condition,NOISE,7.479685e-3,2.836454e-3,2.636985,21392.000000,0.008371,0.015737,12,good
S8-D10,8,10,36.752067,HbO,condition,QUIET,1.119783e-1,2.058439e-2,5.439959,21392.000000,0.000000,0.000000,24,good
S8-D10,8,10,36.752067,HbO,condition,NOISE,7.632718e-2,2.079876e-2,3.669796,21392.000000,0.000243,0.000286,24,good
S8-D10,8,10,36.752067,HbR,condition,QUIET,1.764350e-2,6.709512e-3,2.629625,21392.000000,0.008554,0.016082,26,good
S8-D10,8,10,36.752067,HbR,condition,NOISE,-2.074278e-3,6.762297e-3,-0.306742,21392.000000,0.759043,0.810796,26,good
S9-D4,9,4,34.135068,HbO,condition,QUIET,1.552992e-1,2.147556e-2,7.231438,21392.000000,0.000000,0.000000,22,good
S9-D4,9,4,34.135068,HbO,condition,NOISE,9.141303e-2,2.169544e-2,4.213468,21392.000000,0.000025,0.000031,22,good
S9-D4,9,4,34.135068,HbR,condition,QUIET,2.749538e-2,5.249543e-3,5.237672,21392.000000,0.000000,0.000001,21,good
S9-D4,9,4,34.135068,HbR,condition,NOISE,2.598606e-2,5.281375e-3,4.920322,21392.000000,0.000001,0.000003,21,good
S9-D8,9,8,37.039572,HbO,condition,QUIET,1.457643e-1,1.853574e-2,7.863960,21392.000000,0.000000,0.000000,22,good
S9-D8,9,8,37.039572,HbO,condition,NOISE,1.029237e-1,1.866849e-2,5.513232,21392.000000,0.000000,0.000000,22,good
S9-D8,9,8,37.039572,HbR,condition,QUIET,2.299492e-2,6.275780e-3,3.664074,21392.000000,0.000249,0.000557,18,good
S9-D8,9,8,37.039572,HbR,condition,NOISE,4.883098e-2,6.301390e-3,7.749239,21392.000000,0.000000,0.000000,18,good
S9-D11,9,11,34.027344,HbO,condition,QUIET,2.890476e-1,2.146247e-2,13.467586,21392.000000,0.000000,0.000000,21,good
S9-D11,9,11,34.027344,HbO,condition,NOISE,2.504864e-1,2.169170e-2,11.547569,21392.000000,0.000000,0.000000,21,good
